appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
10195,False,16,0.652354240417480469,0
10195,True,12,0.626126408576965332,0
10195,False,13,0.631627917289733887,0
10195,True,1,0.523809552192687988,0
10195,False,6,0.532467544078826904,0
10195,True,0,0.476190477609634399,0
10195,True,2,0.487046629190444946,0
10195,False,0,0.5,0
10195,False,10,0.620073854923248291,0
10195,False,16,0.593070328235626221,0
10195,True,3,0.541564762592315674,0
10195,False,6,0.562189042568206787,0
10195,False,7,0.512964844703674316,0
24096,True,20,0.680981636047363281,0
24096,True,3,0.565217375755310059,0
24096,True,0,0.5,0
24096,True,0,0.5,0
24096,False,2,0.493911713361740112,0
34500,False,1,0.538590610027313232,575
34500,False,2,0.534170985221862793,262
34500,True,1,0.515086174011230469,4809
34500,True,0,0.425106287002563477,1089
37290,True,0,0.5,2109
41804,True,0,0.5,0
48900,True,1,0.47136339545249939,165
48900,False,2,0.464528083801269531,5
48900,True,0,0.459641247987747192,279
57696,True,0,0.444606661796569824,0
57696,True,0,0.470332831144332886,0
57696,True,0,0.5,0
94000,False,16,0.706430613994598389,18
94000,True,6,0.614651024341583252,66
94000,False,5,0.578112483024597168,77
94000,True,13,0.590922176837921143,5
94000,True,1,0.525316417217254639,332
94000,False,0,0.5,22
94000,False,0,0.5,23
94303,False,2,0.478446155786514282,0
94303,True,0,0.5,0
94303,True,0,0.5,0
94303,True,0,0.5,0
203777,False,7,0.495221406221389771,0
203777,False,1,0.365589946508407593,0
208365,True,0,0.5,0
212041,True,1,0.533582091331481934,0
216411,False,1,0.302779078483581543,0
216411,True,3,0.505230426788330078,0
216411,True,4,0.558624982833862305,0
216411,True,0,0.5,0
216411,True,0,0.460526347160339355,0
222180,True,1,0.48445594310760498,100
222180,False,2,0.506539821624755859,160
222587,False,1,0.453699946403503418,0
222587,True,0,0.5,0
222587,True,0,0.47826087474822998,0
222587,False,1,0.523809552192687988,0
222631,False,1,0.528301894664764404,0
222631,True,0,0.471698105335235596,0
222631,True,0,0.5,0
222633,True,0,0.5,0
237450,False,26,0.69996035099029541,0
237450,False,35,0.636441469192504883,0
237450,False,26,0.586823105812072754,0
237450,True,7,0.520112216472625732,0
237450,False,19,0.582664906978607178,0
237450,False,13,0.542666494846343994,0
237450,False,16,0.54213482141494751,0
237450,False,17,0.502205729484558105,0
255160,True,2,0.52173912525177002,0
256030,False,54,0.697294652462005615,694
256030,False,10,0.505091488361358643,724
256030,True,4,0.503609776496887207,338
256030,True,1,0.5,2755
259720,True,0,0.5,285
259720,False,0,0.5,352
264400,True,0,0.5,159
275134,True,2,0.53348928689956665,0
283470,False,1,0.507829964160919189,177
283470,False,0,0.5,320
283470,True,0,0.5,212
284430,True,6,0.594438016414642334,0
284430,True,0,0.5,0
286634,True,6,0.596064209938049316,0
290490,True,3,0.547393381595611572,266
290490,False,0,0.5,147
291480,False,0,0.5,297279
291480,False,0,0.5,25551
291900,True,6,0.581749081611633301,0
291900,True,13,0.537818849086761475,0
292020,True,6,0.572419226169586182,0
292760,False,26,0.570732712745666504,59
292760,True,3,0.561403512954711914,2925
292760,True,2,0.517791867256164551,6650
293940,True,1,0.519999980926513672,493
293940,False,5,0.495441526174545288,38
293940,False,0,0.47413790225982666,28
293940,True,0,0.5,51
293940,True,0,0.5,66
293940,True,0,0.491071432828903198,274
293940,False,2,0.488027781248092651,275
293940,True,0,0.5,34
293940,True,0,0.5,211
295220,True,11,0.644945859909057617,0
295220,False,1,0.239706993103027344,0
295221,False,9,0.644144833087921143,0
295221,False,2,0.414386987686157227,0
295221,False,4,0.458582967519760132,0
295221,True,0,0.47413790225982666,0
295221,False,4,0.359289228916168213,0
296150,True,1,0.523809552192687988,434
296150,True,2,0.52173912525177002,417
296150,True,0,0.5,150
296150,False,0,0.5,42
298840,True,4,0.544311821460723877,319
298840,True,2,0.504141747951507568,434
298840,True,1,0.501578688621520996,401
298840,False,3,0.40734255313873291,328
299190,True,1,0.523809552192687988,0
299190,True,2,0.5,0
304480,True,0,0.5,0
305570,True,0,0.5,0
307430,False,2,0.54703831672668457,337
307430,True,2,0.545454561710357666,119
307430,False,2,0.520009517669677734,6
307430,True,0,0.5,846
307430,True,1,0.495290815830230713,440
307430,False,1,0.520009517669677734,5
307430,True,0,0.465549349784851074,283
307430,False,0,0.5,35
307430,True,0,0.5,200
307430,False,2,0.481205880641937256,5
307430,True,0,0.5,111
307430,True,0,0.479990452527999878,63
307430,False,0,0.464426875114440918,451
307430,False,0,0.5,49
316961,True,8,0.604484260082244873,0
316961,False,10,0.567157745361328125,0
316961,False,8,0.53217160701751709,0
317770,True,0,0.5,0
318870,True,5,0.585449099540710449,0
318870,False,0,0.482758641242980957,0
323270,True,2,0.532967031002044678,167
323270,False,1,0.523809552192687988,233
324400,False,0,0.490909069776535034,8
324400,True,2,0.475264966487884521,88
326300,True,3,0.542705059051513672,0
335290,True,0,0.5,0
337901,False,0,0.5,0
338420,True,0,0.5,36
338420,False,1,0.490445852279663086,546
338550,False,0,0.5,393
341160,False,10,0.635938286781311035,11
341160,False,2,0.558638095855712891,6
341160,False,0,0.5,223
347580,False,0,0.474006086587905884,470
347580,False,1,0.5,90
347580,False,0,0.5,20
351050,False,1,0.512236595153808594,8072
351050,True,0,0.5,3106
351050,True,1,0.511586487293243408,5830
352280,False,8,0.621978938579559326,45
357490,True,4,0.576609134674072266,407
363270,True,0,0.5,18
363270,False,1,0.5,77
363270,False,2,0.427460670471191406,5
365850,True,2,0.541307032108306885,2081
365850,True,1,0.496732026338577271,26
368190,True,5,0.58618694543838501,0
368190,True,4,0.578813016414642334,0
368190,True,0,0.5,0
368190,True,0,0.5,0
369190,True,7,0.595823347568511963,47278
369190,True,0,0.5,461
369190,True,0,0.476190477609634399,583
372720,False,3,0.481845498085021973,10
376130,True,2,0.540069699287414551,195
376130,True,0,0.432329833507537842,35
376946,True,4,0.549199759960174561,0
376946,False,5,0.578139424324035645,0
376946,True,1,0.523809552192687988,0
376946,True,1,0.519230782985687256,0
376946,True,2,0.509389698505401611,0
376946,False,1,0.485567271709442139,0
376946,True,1,0.490151792764663696,0
376946,False,0,0.5,0
378700,True,1,0.520547926425933838,218
382160,False,1,0.525862038135528564,317
382160,False,7,0.56159663200378418,18
382160,False,3,0.345091640949249268,610
382160,False,0,0.5,5
382170,True,1,0.512820541858673096,0
389830,True,10,0.669312119483947754,0
389830,True,2,0.542483627796173096,0
389830,True,1,0.523809552192687988,0
391440,False,8,0.499285340309143066,71
391440,False,3,0.490579158067703247,24
391440,False,1,0.266838371753692627,249
393021,True,1,0.491620123386383057,0
394400,False,0,0.5,0
395100,False,2,0.427328884601593018,9
397570,True,1,0.523809552192687988,3691
397570,False,1,0.476190477609634399,103
397570,True,1,0.509433984756469727,222
397570,False,1,0.457463860511779785,589
397570,False,1,0.452014416456222534,55
398250,True,0,0.5,67
406521,True,2,0.544749081134796143,0
414231,True,15,0.674208164215087891,0
414231,False,19,0.446924656629562378,0
414231,False,1,0.506578922271728516,0
414770,False,13,0.641962707042694092,25
416750,True,4,0.548818886280059814,0
416750,True,1,0.523809552192687988,0
416750,True,2,0.55997699499130249,0
423440,True,3,0.579831957817077637,261
423440,True,1,0.513278484344482422,376
423440,True,0,0.5,171
423440,True,1,0.490813672542572021,69
423750,True,4,0.528054535388946533,15
423750,True,3,0.507389187812805176,113
425960,False,1,0.516728579998016357,0
425960,True,0,0.476190477609634399,0
431300,True,7,0.628647685050964355,163
431300,False,1,0.337382614612579346,18
431621,True,45,0.796082675457000732,0
431621,True,6,0.600411176681518555,0
431621,True,0,0.5,0
431621,True,0,0.5,0
431621,True,0,0.5,0
431621,True,1,0.478604614734649658,0
431621,True,1,0.527559041976928711,0
431621,True,0,0.5,0
431621,True,1,0.523809552192687988,0
431621,True,2,0.538461565971374512,0
431621,True,2,0.545454561710357666,0
431621,True,1,0.523809552192687988,0
431621,True,0,0.5,0
431621,True,0,0.5,0
431621,True,0,0.5,0
431621,True,0,0.5,0
431621,True,0,0.476190477609634399,0
433480,True,9,0.602367520332336426,552
433480,True,9,0.615678608417510986,38
433750,True,1,0.523809552192687988,41
433750,False,3,0.551579177379608154,33
433750,False,2,0.54356849193572998,11
433750,True,0,0.5,33
433750,True,1,0.48724830150604248,24
433750,False,1,0.472039699554443359,20
433750,True,0,0.440720021724700928,30
433750,False,4,0.472932606935501099,41
433750,True,2,0.499044239521026611,76
436110,False,0,0.5,60
436180,False,15,0.703546762466430664,1746
436180,False,14,0.646295309066772461,798
436180,False,28,0.629231691360473633,35341
436180,True,10,0.614697039127349854,1446
436180,True,4,0.579506516456604004,130450
436180,False,7,0.568844854831695557,6399
436180,False,5,0.530510246753692627,1265
436180,False,7,0.527763724327087402,5556
436180,False,5,0.51750648021697998,9015
436180,False,14,0.514775395393371582,11355
436180,False,1,0.502369701862335205,152540
436180,True,2,0.501952826976776123,63
436180,False,0,0.5,7824
436180,False,4,0.498588919639587402,16221
436180,True,9,0.52802664041519165,4612
436180,True,0,0.47413790225982666,31351
436180,False,2,0.450256466865539551,2303
436180,False,1,0.5,55
436180,True,0,0.5,18456
436180,True,0,0.5,43365
437080,False,2,0.554655849933624268,189
437080,True,1,0.481536686420440674,170
437080,True,3,0.523809552192687988,364
437080,False,0,0.452985584735870361,82
437231,True,8,0.572617530822753906,0
437231,True,4,0.421419352293014526,0
437231,True,0,0.5,0
437231,True,2,0.452304273843765259,0
437231,True,0,0.236552417278289795,0
440130,True,0,0.5,0
440130,True,0,0.5,0
440130,True,1,0.517045438289642334,0
441260,True,0,0.5,0
444520,False,0,0.5,33
444520,True,0,0.498575508594512939,250
444520,True,0,0.5,505
445550,True,1,0.52702707052230835,202
446510,True,3,0.458074510097503662,8
446510,True,3,0.5,296
448800,True,1,0.502074658870697021,221
448800,True,0,0.5,192
448800,True,0,0.5,468
448800,True,0,0.5,255
457890,True,1,0.517819702625274658,344
457890,True,1,0.481132060289382935,398
457890,True,0,0.5,272
457890,True,0,0.5,1167
457890,True,1,0.5,628
458170,True,1,0.5,225
458170,True,1,0.482777774333953857,77
458490,False,53,0.821768999099731445,34
458490,True,11,0.676501929759979248,64
458490,True,6,0.561982214450836182,105
458490,True,7,0.529581427574157715,25
458490,True,5,0.469554930925369263,34
458490,True,3,0.449610471725463867,69
458490,False,3,0.343239903450012207,23
458490,True,1,0.5,31
458490,True,4,0.437141120433807373,165
458490,False,21,0.691620469093322754,64
459750,True,9,0.528469681739807129,0
462260,False,0,0.5,0
462260,True,0,0.5,0
462260,True,0,0.422198563814163208,0
462260,True,1,0.486275434494018555,0
465760,True,14,0.695113539695739746,236
465760,True,12,0.668284952640533447,203
465760,False,8,0.616925835609436035,41
465760,False,17,0.596040606498718262,24
465760,False,4,0.583524227142333984,252
465760,False,4,0.568367063999176025,488
465760,True,2,0.554000914096832275,878
465760,True,1,0.524907708168029785,830
465760,True,1,0.523809552192687988,153
465760,False,3,0.520126640796661377,52
465760,True,0,0.5,190
465760,True,2,0.546515524387359619,246
465760,False,4,0.485078006982803345,285
468150,False,1,0.497925341129302979,15
469050,True,3,0.527326881885528564,0
471160,False,2,0.540229856967926025,22
471160,False,0,0.476190477609634399,160
471160,True,0,0.5,149
471160,False,1,0.516129076480865479,13
471160,True,0,0.5,12
471160,False,2,0.549071609973907471,10
473441,True,9,0.595804274082183838,0
476869,True,6,0.600461781024932861,0
476869,True,0,0.5,0
476869,True,0,0.5,0
476869,True,0,0.5,0
482221,True,8,0.630138874053955078,0
482221,True,12,0.39011809229850769,0
485144,True,0,0.5,0
485640,False,4,0.587643444538116455,191
485640,True,0,0.47826087474822998,232
485640,False,0,0.4375,6
485640,False,0,0.463576167821884155,35
485640,False,0,0.476190477609634399,32
485970,True,5,0.574281156063079834,250
485970,True,1,0.523809552192687988,496
485970,True,0,0.5,1193
485970,True,0,0.476190477609634399,16
488040,True,3,0.558687388896942139,430
488040,True,3,0.528138101100921631,2978
488040,True,2,0.526542305946350098,407
488040,False,2,0.509459435939788818,433
488040,True,1,0.50301206111907959,4349
488040,True,0,0.5,98
488040,True,0,0.5,5258
488040,True,0,0.5,1584
488040,False,0,0.476190477609634399,50
488040,True,1,0.518072307109832764,306
488040,True,1,0.518072307109832764,7
488040,False,0,0.463483124971389771,7155
488040,True,0,0.5,1853
488040,True,2,0.525043129920959473,3858
488040,True,1,0.501779377460479736,258
488300,True,10,0.605736255645751953,564
488300,True,6,0.597233235836029053,338
488300,False,3,0.550172984600067139,428
488300,True,2,0.545454561710357666,199
488300,True,4,0.533132493495941162,201
488300,True,3,0.532330214977264404,2207
488300,False,2,0.532062351703643799,206
488300,True,3,0.527776539325714111,3409
488300,True,2,0.503684461116790771,1183
488300,False,0,0.5,967
488300,True,0,0.5,5495
488300,True,0,0.5,1618
488300,False,0,0.5,298
488812,True,1,0.519999980926513672,0
488812,True,1,0.5,0
488812,True,0,0.5,0
488812,True,0,0.5,0
491660,True,0,0.5,2133
491660,False,0,0.466321229934692383,108
492958,True,1,0.530516445636749268,0
500212,True,2,0.550706028938293457,0
500248,True,1,0.517241418361663818,0
500248,True,0,0.5,0
502320,False,54,0.837591648101806641,1304
502320,False,2,0.544370055198669434,81
502320,True,1,0.523809552192687988,44
502320,True,1,0.519230782985687256,274
502320,True,0,0.5,132
502320,False,1,0.473623514175415039,154
502430,False,3,0.492373466491699219,64
502430,False,5,0.520271360874176025,24
504420,True,3,0.570579946041107178,89
504420,True,1,0.49824562668800354,90
506700,True,18,0.709269106388092041,129
506700,True,14,0.642989933490753174,218
506700,True,2,0.531149208545684814,35
506700,True,3,0.565217375755310059,96
509630,True,0,0.5,0
509637,True,6,0.51938331127166748,0
509637,True,5,0.54766315221786499,0
509664,True,8,0.639210820198059082,0
509723,True,0,0.5,0
514670,False,40,0.754611730575561523,284
514670,True,6,0.585003077983856201,1382
514670,False,4,0.55330502986907959,142
514670,True,4,0.552768170833587646,205
514670,False,6,0.545283019542694092,26
514670,True,0,0.5,65
514670,True,1,0.465109825134277344,55
514670,True,0,0.5,337
514670,False,0,0.476190477609634399,23
514670,True,28,0.782898485660552979,1155
515000,True,5,0.593287527561187744,154
515000,True,1,0.420818060636520386,142
517130,True,12,0.678483128547668457,205
517130,True,3,0.565217375755310059,234
517130,True,4,0.551208317279815674,488
517130,True,2,0.544579446315765381,756
517130,True,2,0.538461565971374512,181
517130,True,3,0.530120491981506348,2154
517130,True,2,0.526411652565002441,33
517130,True,3,0.523809552192687988,5085
517130,True,1,0.523809552192687988,9460
517130,True,1,0.523809552192687988,7038
517130,True,1,0.522293031215667725,79
517130,False,2,0.52173912525177002,3879
