appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
446510,True,3,0.4580745100975036,8
446510,True,3,0.5,296
906680,True,21,0.734986901283264,47
906680,True,13,0.6366041302680969,275
906680,True,9,0.5406916737556458,96
906680,True,5,0.5190274715423583,25
906680,True,5,0.5634920597076416,46
906680,True,2,0.2879930734634399,28
906680,True,1,0.5,13
906680,True,2,0.5,77
906680,True,2,0.5135135054588317,48
906680,True,3,0.5196506381034851,215
906680,False,3,0.5406360626220703,21
906680,True,4,0.5833333134651184,17
906680,False,8,0.5926065444946289,44
906680,False,2,0.5255391597747802,30
906680,True,0,0.5,260
906680,True,0,0.5,80
906680,False,0,0.5,87
906680,True,3,0.5293644070625305,291
906680,False,2,0.4419978857040405,17
906680,False,1,0.4560260474681854,28
906680,False,38,0.7086508274078369,50
906680,True,2,0.5,32
906680,False,0,0.5,54
906680,True,0,0.5,9
906680,False,2,0.5238095521926879,191
906680,False,0,0.5,23
906680,False,0,0.5,47
906680,False,1,0.4580152630805969,15
906680,True,1,0.4421761333942413,19
906680,False,2,0.4787148833274841,10
906680,False,1,0.5,15
906680,False,6,0.5409663915634155,205
906680,True,2,0.5163224339485168,20
906680,False,2,0.4958677589893341,93
906680,False,1,0.5,20
906680,False,1,0.5,99
906680,True,0,0.5,30
906680,False,1,0.5,9
906680,True,0,0.5,20
906680,False,1,0.5,15
1455850,True,2,0.5108359456062316,4944
1455850,True,0,0.5,194
1455850,True,3,0.5254272818565368,1377
1455850,True,1,0.4761904776096343,512
1455850,True,2,0.5055367946624755,550
1455850,True,0,0.5,757
906680,True,1,0.4830287396907806,29
906680,False,7,0.4004920125007629,31
906680,True,0,0.5,138
906680,False,1,0.5,69
906680,False,0,0.5,18
1455850,True,5,0.6007209420204161,647
1455850,True,3,0.5572916269302368,21
1455850,True,1,0.5238095521926879,232
1455850,False,17,0.5531774759292603,8
1455850,True,0,0.5,248
1455850,True,5,0.5120363235473632,1553
1455850,True,1,0.5,26
1516940,True,1,0.5,71
1516940,True,1,0.5,98
1516940,True,5,0.5238095521926879,285
906680,False,0,0.5,265
1455850,True,1,0.4737104177474975,1299
1516940,True,7,0.4256384074687957,205
1829170,False,9,0.6382758617401123,6
2102530,True,17,0.6516016721725463,76
2102530,False,12,0.6514666676521301,7
2102530,False,10,0.6014435291290283,150
2102530,False,13,0.5612605214118958,12
2102530,False,4,0.5291693210601806,13
2102530,False,0,0.5,76
2102530,False,0,0.5,370
2102530,False,2,0.5291693210601806,18
2102530,True,0,0.5,51
2102530,True,1,0.5238095521926879,14
906680,False,3,0.562043786048889,69
906680,False,0,0.5,248
1455850,True,2,0.5185185670852661,2314
2102530,False,0,0.5,5
2102530,False,0,0.5,7
446510,True,1,0.5,29
906680,False,2,0.5061781406402587,44
906680,True,1,0.5,535
1027910,False,22,0.63528972864151,36
1027910,True,6,0.5324264168739318,5949
1455850,True,8,0.6286314725875854,229
1455850,True,0,0.5,397
1516940,True,0,0.5,882
1516940,True,0,0.5,41
1516940,True,0,0.5,735
1516940,True,0,0.5,847
1516940,True,4,0.5,407
1698890,True,2,0.5438839197158813,0
1743670,False,2,0.5454545617103576,11
1743670,False,3,0.5669291019439697,38
1743670,False,0,0.5,50
1743670,True,0,0.5,16
1841150,True,7,0.5735607743263244,75
1841150,False,7,0.5177953243255615,8
1841150,True,3,0.50495046377182,74
1841150,True,0,0.5,139
1841150,True,3,0.50495046377182,129
1841150,True,2,0.5,181
1841150,True,2,0.5,73
1841150,True,2,0.5,325
1841150,True,2,0.5,14
1841150,True,2,0.5,73
1841150,True,2,0.5,74
1841150,True,1,0.5,68
1841150,True,1,0.5,64
1841150,True,1,0.5,53
1841150,True,2,0.5,22
1841150,True,1,0.5,51
