appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
3220,True,1,0.523809552192687988,1925
3220,False,1,0.460207581520080566,16
3220,True,0,0.5,35
3220,True,0,0.5,154
3220,True,0,0.444478005170822144,1517
3220,False,2,0.436009258031845093,17
3220,True,3,0.394982486963272095,909
3220,True,0,0.49751242995262146,17
3220,True,4,0.456530004739761353,202
10195,True,7,0.61294865608215332,0
10195,False,6,0.568345308303833008,0
10195,True,10,0.51043546199798584,0
10195,False,5,0.560000002384185791,0
10195,True,0,0.5,0
10195,True,51,0.796553373336791992,0
10195,True,2,0.505664348602294922,0
10195,False,1,0.424099534749984741,0
10195,True,1,0.516344249248504639,0
10195,True,0,0.5,0
10195,True,0,0.5,0
10195,False,1,0.450602412223815918,0
10195,True,1,0.492523074150085449,0
10195,False,3,0.42775687575340271,0
10195,False,438,0.948650121688842773,0
10195,False,1,0.466686755418777466,0
24096,True,5,0.522143900394439697,0
24096,False,6,0.507704734802246094,0
24096,True,0,0.5,0
24096,True,3,0.524214088916778564,0
24096,True,0,0.5,0
37290,True,0,0.5,1574
48900,True,1,0.512020587921142578,499
57696,True,60,0.848802626132965088,0
57696,True,34,0.81137394905090332,0
57696,True,7,0.596932351589202881,0
57696,True,4,0.545034348964691162,0
57696,True,0,0.5,0
90503,False,2,0.451373428106307983,0
94000,False,30,0.68779754638671875,22
94000,True,27,0.70212167501449585,32
94000,False,13,0.636240243911743164,19
94000,True,9,0.606996476650238037,40
94000,True,6,0.545825600624084473,24
94000,False,6,0.531636357307434082,21
94000,True,4,0.557524621486663818,44
94000,True,0,0.5,21
94000,True,0,0.5,23
94000,False,0,0.5,25
94000,False,0,0.5,26
94000,False,0,0.5,43
94000,False,0,0.5,30
94000,True,0,0.5,21
94000,False,0,0.5,31
94000,False,0,0.5,42
94303,False,4,0.526049196720123291,0
94303,True,3,0.443268775939941406,0
203777,True,6,0.430521309375762939,0
203777,False,19,0.557660281658172607,0
207210,False,73,0.782461583614349365,652
207210,True,35,0.756951272487640381,7678
207210,False,32,0.715508937835693359,653
207210,False,30,0.688586413860321045,527
207210,True,13,0.675168216228485107,1837
207210,False,42,0.660342872142791748,56
207210,True,12,0.6439475417137146,271
207210,False,83,0.692335128784179688,12
207210,False,41,0.608046233654022217,463
207210,True,22,0.585521101951599121,383
207210,True,3,0.531601786613464355,2221
207210,False,69,0.629811942577362061,28
207210,True,6,0.568546831607818604,216
207210,False,3,0.564913392066955566,424
207210,False,18,0.563085794448852539,784
207210,True,7,0.550976216793060303,1871
207210,True,3,0.5479583740234375,6074
208365,True,12,0.659687578678131104,0
208365,True,5,0.552176952362060547,0
208365,True,5,0.517330288887023926,0
208365,False,3,0.461235731840133667,0
208365,True,3,0.512977123260498047,0
208365,True,6,0.539554595947265625,0
212041,True,0,0.5,0
212041,True,1,0.502487540245056152,0
212041,True,3,0.347452670335769653,0
212170,True,19,0.722289204597473145,0
216390,False,252,0.85861736536026001,5320
216390,False,18,0.567818939685821533,387
216390,True,0,0.5,17408
216390,True,0,0.5,1796
216390,False,0,0.5,1231
216390,False,0,0.5,303
216411,True,10,0.598523736000061035,0
216411,True,0,0.376119405031204224,0
216411,True,1,0.268126875162124634,0
216411,True,0,0.369267880916595459,0
216411,False,0,0.5,0
218843,True,1,0.483758121728897095,0
218843,True,0,0.5,0
220050,False,284,0.886817634105682373,1061
220050,False,175,0.836944341659545898,1348
220050,False,77,0.817019641399383545,440
220050,False,92,0.811003446578979492,20
220050,False,350,0.793134808540344238,221
220050,False,69,0.79077303409576416,381
220050,False,280,0.78758472204208374,1502
220050,True,43,0.785691976547241211,244
220050,False,64,0.758440077304840088,512
220050,False,174,0.80287402868270874,35
220050,False,69,0.794877827167510986,901
220050,False,53,0.748687982559204102,281
220050,False,157,0.673381507396697998,11
220050,False,28,0.651605606079101562,136
220050,False,300,0.737315654754638672,438
220050,False,23,0.646376729011535645,229
220050,False,9,0.590173721313476562,296
220050,True,5,0.582643270492553711,585
220050,False,13,0.568439006805419922,497
220050,False,15,0.562232911586761475,7
220050,False,20,0.661732017993927002,394
220050,True,3,0.558823525905609131,190
220050,False,23,0.600024759769439697,132
220050,True,4,0.547671854496002197,503
220050,False,11,0.543330907821655273,608
220050,False,12,0.53851085901260376,847
220050,True,8,0.537883162498474121,615
220050,True,15,0.585876226425170898,362
220050,True,47,0.63234555721282959,566
220050,True,18,0.524397969245910645,1747
220050,False,22,0.568271279335021973,1072
220050,False,18,0.562512755393981934,79
