appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
3220,True,8,0.545633256435394287,69
3220,False,10,0.507842838764190674,100
10195,True,4,0.429796516895294189,0
22893,True,1,0.52173912525177002,0
34500,True,17,0.666979014873504639,578
34500,True,4,0.590617358684539795,3504
34500,True,0,0.5,316
34500,True,2,0.526627242565155029,1566
34500,True,0,0.5,1283
34500,True,0,0.435411036014556885,1313
37290,True,0,0.5,1322
48900,False,14,0.55525970458984375,810
48900,True,1,0.502297103404998779,203
48900,True,3,0.563492059707641602,420
48900,True,0,0.5,125
48900,True,0,0.5,64
48900,True,0,0.5,74
48900,True,0,0.459905654191970825,17
48900,True,0,0.499955624341964722,233
48900,True,0,0.495903283357620239,316
48900,True,0,0.499955624341964722,463
48900,True,0,0.5,70
56433,True,39,0.467239022254943848,0
91607,True,2,0.504950523376464844,0
94000,True,3,0.565217375755310059,21
94000,True,11,0.612915396690368652,40
94000,True,2,0.545454561710357666,59
94000,True,2,0.537955820560455322,20
94000,True,2,0.515418469905853271,22
94000,True,3,0.510173320770263672,1947
94000,False,3,0.556248188018798828,40
94000,True,1,0.502487540245056152,41
207210,True,16,0.693467319011688232,350
207210,False,3,0.55493617057800293,100
213930,True,8,0.531700849533081055,0
216390,True,10,0.591679215431213379,14618
216390,True,0,0.5,4028
216390,True,0,0.5,7008
216390,True,0,0.5,7208
216390,True,0,0.5,2920
216390,True,0,0.5,10548
216390,False,0,0.5,3711
216390,True,2,0.514450132846832275,4481
