appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
7910,True,0,0.5,3277
10195,False,9,0.584515988826751709,0
10195,False,15,0.678320109844207764,0
10195,False,0,0.5,0
10195,False,3,0.551966488361358643,0
10195,False,168,0.919313549995422363,0
10195,True,14,0.625588536262512207,0
10195,False,17,0.629562079906463623,0
10195,False,3,0.519621133804321289,0
24096,True,8,0.618307769298553467,0
24096,True,0,0.5,0
24096,True,0,0.5,0
24096,True,0,0.5,0
34500,True,5,0.56751561164855957,2253
34500,True,2,0.545454561710357666,2226
37290,True,0,0.5,1023
37290,True,0,0.5,127757
56433,True,2,0.52173912525177002,0
57696,False,11,0.646030545234680176,0
57696,True,0,0.479351043701171875,0
57696,False,1,0.52173912525177002,0
57696,True,0,0.5,0
94303,True,0,0.5,0
208365,False,5,0.591180145740509033,0
208365,True,0,0.5,0
208365,True,0,0.5,0
212041,True,0,0.5,0
222180,False,0,0.411172240972518921,61
222587,True,12,0.66890329122543335,0
222587,False,4,0.575835466384887695,0
222587,True,1,0.523809552192687988,0
222587,True,0,0.5,0
222631,True,1,0.517241418361663818,0
222633,True,9,0.655172407627105713,0
231465,True,2,0.522058844566345215,0
237450,False,236,0.872512996196746826,0
237450,False,126,0.816716372966766357,0
237450,False,76,0.727033615112304688,0
237450,False,72,0.784623324871063232,0
237450,False,50,0.601202070713043213,0
237450,False,46,0.590376853942871094,0
237450,False,47,0.672961235046386719,0
237450,True,16,0.549194395542144775,0
237450,False,36,0.639612197875976562,0
237450,False,33,0.618189632892608643,0
237450,False,35,0.562574565410614014,0
237450,False,3,0.513184607028961182,0
237450,False,17,0.561378180980682373,0
237450,False,74,0.784687161445617676,0
237450,False,20,0.532370388507843018,0
237450,True,6,0.449979811906814575,0
237450,False,59,0.633563518524169922,0
237450,False,90,0.752130270004272461,0
237780,False,0,0.5,0
256030,False,12,0.614487648010253906,1677
256030,False,16,0.6377410888671875,45
256030,False,6,0.550698339939117432,109
256030,True,2,0.541049838066101074,516
257020,True,0,0.5,0
259720,True,0,0.5,10
262610,True,0,0.455759137868881226,2308
262610,True,1,0.464469194412231445,6417
262610,True,0,0.472440958023071289,1629
264400,True,1,0.492198407649993896,202
264400,True,0,0.5,313
275134,False,1,0.461087018251419067,0
277765,True,2,0.53947371244430542,0
281102,True,0,0.5,0
281102,True,0,0.5,0
283470,False,5,0.387479811906814575,186
283470,False,0,0.5,388
284430,True,1,0.523809552192687988,0
284430,True,0,0.457198441028594971,0
286634,True,19,0.701607763767242432,0
286634,True,2,0.436507940292358398,0
286634,True,6,0.542221903800964355,0
290490,False,2,0.537836432456970215,52
291900,True,0,0.5,0
291900,False,1,0.488997548818588257,0
291900,True,0,0.5,0
292760,True,9,0.622591733932495117,3217
292760,True,1,0.466867446899414062,2563
292760,False,0,0.5,2437
292760,True,0,0.5,8109
292760,True,0,0.45691266655921936,1490
297514,True,1,0.52173912525177002,0
298840,False,3,0.453326791524887085,129
298840,True,0,0.479452043771743774,7
298840,True,0,0.5,17
299190,True,3,0.558676064014434814,0
303330,True,12,0.688859820365905762,0
307430,True,0,0.5,221
310440,True,17,0.648183703422546387,0
316961,True,1,0.499653518199920654,0
317770,True,0,0.440944880247116089,0
317770,True,0,0.5,0
318870,False,0,0.5,0
318870,True,0,0.377480566501617432,0
318870,True,2,0.484160512685775757,0
338420,True,4,0.535483837127685547,515
338420,True,4,0.569560706615447998,624
338420,True,0,0.5,808
338420,True,0,0.5,187
338420,True,2,0.519690573215484619,371
338420,False,1,0.488372087478637695,439
338550,True,3,0.529860794544219971,9
338550,True,0,0.5,657
338550,True,0,0.478971987962722778,9
339760,True,0,0.5,0
341160,True,0,0.441923469305038452,396
347580,False,1,0.51001739501953125,27
348681,True,0,0.5,0
351050,False,0,0.5,21
351050,True,0,0.5,46586
351050,False,0,0.5,126
365850,True,5,0.596238553524017334,302
368190,True,15,0.708213567733764648,0
368190,True,1,0.516129076480865479,0
368190,True,0,0.5,0
368190,True,4,0.535085678100585938,0
368190,True,0,0.5,0
368190,True,0,0.5,0
369190,False,8,0.569554448127746582,67
369190,True,0,0.5,28132
370400,False,0,0.5,0
370400,True,2,0.548022627830505371,0
370401,True,3,0.567567586898803711,0
372720,False,0,0.5,8
376130,True,0,0.470882624387741089,10
376946,True,0,0.5,0
376946,True,2,0.528795838356018066,0
376946,True,0,0.5,0
378700,True,2,0.551032662391662598,141
378700,True,0,0.5,112
382160,False,2,0.481671929359436035,66
384660,False,0,0.5,368
385960,False,0,0.5,281
385960,False,0,0.5,302
387981,True,0,0.5,0
389810,False,0,0.5,16
389810,True,0,0.5,115
389810,True,0,0.461200594902038574,262
389830,False,0,0.5,0
389830,True,0,0.5,0
389830,True,0,0.5,0
389830,True,3,0.564835786819458008,0
391440,True,2,0.403480559587478638,169
393021,False,1,0.532163739204406738,0
394400,False,0,0.5,0
395100,False,1,0.464742541313171387,93
397570,False,0,0.5,30
397570,False,0,0.5,347
406521,True,3,0.568367063999176025,0
408240,False,0,0.47413790225982666,34
414231,False,6,0.5114174485206604,0
414231,False,0,0.5,0
414237,True,1,0.534313738346099854,0
414770,False,13,0.616173624992370605,50
414770,False,3,0.492415696382522583,22
416750,True,2,0.525547444820404053,0
423440,True,2,0.549009740352630615,186
423440,True,1,0.513278484344482422,70
423440,True,0,0.5,477
423440,True,0,0.5,208
423440,True,0,0.5,1704
423750,True,0,0.476190477609634399,35
423750,True,3,0.563492059707641602,53
423750,True,0,0.479274630546569824,28
425960,False,0,0.5,0
425960,True,0,0.5,0
427830,False,1,0.335289120674133301,6
427830,False,5,0.509041965007781982,543
428311,True,0,0.34036591649055481,0
430061,True,0,0.5,0
431300,True,0,0.5,122
431621,True,2,0.541543424129486084,0
431621,True,0,0.461741417646408081,0
433750,True,8,0.629605114459991455,29
433750,False,1,0.513888895511627197,28
436180,False,56,0.768329977989196777,2474
436180,True,5,0.566878974437713623,6115
436180,False,0,0.497309833765029907,2367
436180,False,1,0.476731687784194946,511
437080,True,0,0.5,170
437231,False,7,0.431203752756118774,0
437231,True,0,0.5,0
437231,True,0,0.5,0
437231,False,0,0.5,0
437231,False,1,0.472440958023071289,0
437231,True,0,0.5,0
437231,False,8,0.562694251537322998,0
437231,False,0,0.456069856882095337,0
444360,False,1,0.523809552192687988,0
444520,True,0,0.5,408
448800,True,6,0.617160797119140625,271
448800,True,1,0.502074658870697021,156
448800,True,1,0.458085447549819946,154
448800,True,0,0.5,80
448800,True,0,0.5,217
454030,False,2,0.523809552192687988,18
454030,False,0,0.395559877157211304,34
457890,False,29,0.545791983604431152,157
457890,False,0,0.5,19
457890,True,3,0.566929101943969727,332
457890,True,1,0.523809552192687988,935
457980,False,1,0.485648214817047119,163
457980,True,0,0.5,903
458170,False,0,0.5,149
458170,True,0,0.5,187
458490,True,1,0.47744441032409668,35
458490,False,1,0.5,22
462260,False,9,0.633710384368896484,0
462260,False,6,0.618468344211578369,0
462260,True,1,0.5,0
465760,False,3,0.529683887958526611,365
465760,True,4,0.572446525096893311,339
465760,True,3,0.540540516376495361,215
465760,True,1,0.523809552192687988,309
465760,True,1,0.523809552192687988,203
465760,True,1,0.519999980926513672,223
465760,True,1,0.502074718475341797,316
465760,True,0,0.496183186769485474,409
465760,True,2,0.528128743171691895,183
467910,True,2,0.509665250778198242,5472
471160,False,2,0.549071609973907471,98
485640,False,0,0.450819671154022217,31
485970,True,0,0.5,2313
485970,False,0,0.5,32
488040,False,10,0.614799737930297852,27
488040,False,9,0.542452812194824219,224
488040,False,5,0.541939318180084229,4524
488040,True,2,0.540636062622070312,968
488040,False,0,0.5,5
488040,False,0,0.5,50
488040,False,10,0.589100539684295654,82
