appid,voted_up,votes_up,weighted_vote_score,author_playtime_forever
317080,False,21,0.6559177041053771,9
317080,False,17,0.5569971799850463,17
317080,True,25,0.5323410630226135,7
317080,False,11,0.5070724487304688,34
317080,False,4,0.5243493914604187,57
317080,False,10,0.4135801792144775,6
317080,False,14,0.4332737922668457,15
222180,True,2,0.4819277226924896,288
222180,True,3,0.5078043341636657,232
222180,False,2,0.4122011661529541,633
222633,True,14,0.642110526561737,0
222633,True,17,0.6393245458602905,0
222633,False,15,0.5653355717658995,0
222633,True,1,0.5017793774604797,0
222633,True,2,0.5014113783836364,0
222633,False,106,0.7429699301719666,0
277765,True,20,0.7099658250808715,0
277765,True,10,0.5749594569206237,0
277765,True,3,0.5500388145446777,0
277765,True,4,0.5251091718673706,0
277765,True,5,0.5610091686248779,0
277765,True,2,0.4594381749629974,0
277765,True,0,0.5,0
277765,True,3,0.4353640377521514,0
277765,False,6,0.4161185920238494,0
277765,True,1,0.4509557485580444,0
277765,True,1,0.468459665775299,0
277765,True,0,0.5,0
290490,False,351,0.897731065750122,60
290490,False,1385,0.8789356350898742,53
290490,False,520,0.8620541095733641,68
290490,False,253,0.8832792043685913,43
290490,False,40,0.7853252291679382,31
290490,False,78,0.8164871335029602,64
290490,True,37,0.750086486339569,279
290490,False,22,0.7482163906097412,58
290490,False,16,0.6645850539207458,714
290490,False,61,0.6630881428718566,24
290490,False,11,0.6447780728340148,41
290490,False,43,0.6002407073974609,67
290490,False,81,0.6365255117416381,124
290490,False,28,0.5851171016693115,35
290490,True,14,0.576308786869049,455
290490,False,24,0.6208763718605042,16
290490,False,9,0.5655122995376586,68
290490,False,17,0.5611617565155029,34
290490,False,27,0.5531980395317077,33
290490,False,43,0.5528539419174194,91
290490,True,14,0.5483806729316711,104
290490,False,24,0.5469059348106384,26
290490,True,22,0.5966440439224243,198
290490,False,24,0.5387945771217346,93
290490,True,4,0.5279797911643981,447
290490,True,11,0.526437222957611,248
290490,False,15,0.5258525013923645,18
290490,False,4,0.5246729850769042,247
290490,False,33,0.5223961472511292,41
290490,False,35,0.5703544616699218,29
290490,True,14,0.5682898163795471,91
290490,True,9,0.5095537304878234,191
290490,False,2,0.5068979263305664,23
290490,True,0,0.5,184
290490,False,0,0.5,64
290490,False,0,0.5,770
290490,False,0,0.5,43
290490,False,73,0.5452247262001036,54
290490,True,3,0.4867831766605377,125
290490,True,6,0.4836513400077819,175
